journal,,editor_in_chief,author,title,year,issue,english_author,original title,first published year,genre,additional comments,decade,general_secretary
IL,,,Миллер Артур,Вид с моста: Пьеса,1957,4,Arthur Miller,A View from the Bridge,1955,,,1950s,Khrushchev
IL,,,Миллер Артур,Цена: Драма в 2-х д.,1968,6,Arthur Miller,The Price,1968,,,1960s,Brezhnev
IL,,,Миллер Артур,Часы Америки: Пьеса,1988,11,Arthur Miller,The American Clock,1980,,,1980s,Gorbachev
IL,,,Миллер Артур,Это случилось в Виши: Пьеса,1965,7,Arthur Miller,Incident at Vichy,1964,,,1960s,Brezhnev
IL,,,Миллер Генри,Размышление о писательстве,1991,8,Arthur Miller,My Life and Times,1971,,,1990s,Gorbachev
IL,,,Миллер Генри,Тропик Рака: Роман,1990,"7, 8",Arthur Miller,Tropic of Cancer,1934,,,1990s,Gorbachev
IL,,,Миэн Томас,11 talento mysterioso,1981,10,Thomas Meehan,II Talento Mysterioso,,,,1980s,Brezhnev
IL,,,Миэн Томас,Ничего личного,1981,10,Thomas Meehan,Nothing Personal,,,,1980s,Brezhnev
IL,,,Новые американские рассказы,чекнуть выпуск,1958,8,,,,,,1950s,Khrushchev
IL,,,Нолан Уильям Ф.,Ну и денек!,1982,7,William F. Nolan,One of Those Days,1962,,,1980s,Andropov
IL,,,Нэдлер Мэгги,Последнее новшество,1981,7,Maggie Nadler,The Latest Feature,1972,,,1980s,Brezhnev
IL,,,Нэш Огден,Незнакомец в доме: Рассказ,1976,11,Nash Ogden,Stranger in the House,,,,1970s,Brezhnev
IL,,,О'Хара Джон,Быстротечная слава мистера Сеймура Гаррисбурга,1958,8,John O'Hara,The public career of Mr. Seymour Harrisburg,1933,,,1950s,Khrushchev
IL,,,О'Хара Джон,Дело Локвудов: Роман,1972,10-Aug,John O'Hara,The Lockwood Concern,1965,,,1970s,Brezhnev
IL,,,О'Хара Джон,Разговор во время обеда,1978,10,John O'Hara,,1944,,,1970s,Brezhnev
IL,,,Огден Крис,Мэгги. Интимный портрет женщины у власти: Главы из книги,1991,4,Chris Ogden,Maggie: An Intimate Portrait of a Woman in Power,1990,,,1990s,Gorbachev
IL,,,Олби Эдвард,Все в саду:Пьеса в 2-х д.,1969,1,Edward Albee,Everything in the Garden,1967,,,1960s,Brezhnev
IL,,,Олби Эдвард,Смерть Бесси Смит: Пьеса в 8 карт.,1964,6,Edward Albee,The Death of Bessie Smith,1960,,,1960s,Brezhnev
IL,,,Оутс Джойс Кэрол,Священный брак: Рассказ,1983,9,Joyce Carol Oates,The Sacred Marriage,1972,,,1980s,Andropov
IL,,,Оутс Джойс Кэрол,Стыд,1973,12,Joyce Carol Oates,Shame,1970,,,1970s,Brezhnev
IL,,,Оутс Джойс Кэрол,Тяжкое  бремя  плоти,1973,12,Joyce Carol Oates,The Heavy Sorrow of the Body,1970,,,1970s,Brezhnev
IL,,,Оутс Джойс Кэрол,Ты хоть раз поскользнулся в луже красной крови?,1973,12,Joyce Carol Oates,Did You Ever Slip on Red Blood?,1972,,,1970s,Brezhnev
IL,,,Парди Джеймс,Острый угол,1969,5,James Purdy,Cutting Edge ,1957,,,1960s,Brezhnev
IL,,,Паркер Дороти,"Но тот, что справа...",1981,10,Dorothy Parker,But the One on the Right,1929,,,1980s,Brezhnev
IL,,,Паркер Дороти,Перед рассветом,1984,1,Dorothy Parker,,,,,1980s,Chernenko
IL,,,Пирсон Эдмунд,По заслугам,1977,7,Edmund Pearson,,,,,1970s,Brezhnev
IL,,,Плакта Дэнни,Оживили... ,1981,7,Daniel Plachta,Revival Meeting,,,,1980s,Brezhnev
IL,,,Помрой Уильям,Приказ,1968,4,William Pomeroy,,,,,1960s,Brezhnev
IL,,,Помрой Уильям,Флора,1968,4,William Pomeroy,,,,,1960s,Brezhnev
IL,,,Портер Кэтрин Энн,"Бледный конь, бледный всадник: Новелла",1979,1,Katherine Anne Porter,"Pale Horse, Pale Rider",1937,,,1970s,Brezhnev
IL,,,Портер Кэтрин Энн,Как была брошена бабушка Вэзеролл,1976,7,Katherine Anne Porter,The Jilting of Granny Weatherall,1929,,,1970s,Brezhnev
IL,,,Портер Кэтрин Энн,Падающая башня: Повесть,1990,3,Katherine Anne Porter,The Leaning Tower,1941,,,1990s,Gorbachev
IL,,,Рассел Рэй,Комната,1981,7,Ray Russell,The Room,1961,,,1980s,Brezhnev
IL,,,Ренз Доналд,Межпланетное авторское право,1977,7,Donald F. Reines,Interplanetary Copyright,,,First published as The Shape of Copyright to Come: https://wp.nyu.edu/orphanfilm/2021/02/19/interplanetary-copyright-1952/,1970s,Brezhnev
IL,,,Рид Кит,Синьор да В.:Рассказ,1987,7,Kit Reed,Mr. da V.,1962,,,1980s,Gorbachev
IL,,,Салливен Фрэнк,"Нет, нет и еще раз нет! и др. рассказы",1985,12,Frank Sullivan,"No! A Thousand Times, No!",,,,1980s,Gorbachev
IL,,,Салливэн Фрэнк,Признания:  Рассказ,1979,4,Frank Sullivan,,,,,1970s,Brezhnev
IL,,,Салливэн Фрэнк,Рассказы: Букет дружб,1978,8,Frank Sullivan,,,,,1970s,Brezhnev
IL,,,Салливэн Фрэнк,Почетная маруха,1978,8,Frank Sullivan,Honorary Gun Moll,,,,1970s,Brezhnev
IL,,,Сароян Уильям,Весь снят и сами небеса,1958,8,William Saroyan,,,,,1950s,Khrushchev
IL,,,Сароян Уильям,Читатель «Всемирного альманаха»,1958,8,William Saroyan,,,,,1950s,Khrushchev
IL,,,Сароян Уильям,Вы когда-нибудь влюблялись в крошку?: Рассказ,1977,1,William Saroyan,,,,,1970s,Brezhnev
IL,,,Сароян Уильям,Разве сегодня не  тот самый  день?,1984,6,William Saroyan,,,,,1980s,Chernenko
IL,,,Сароян Уильям,"Три, четыре, пять, вышел зайчик погулять",1956,10,William Saroyan,,,,,1950s,Khrushchev
IL,,,Сароян Уильям,Гений,1956,10,William Saroyan,,,,,1950s,Khrushchev
IL,,,Сетон Томпсон Эрнест,Пижон среди ковбоев: Глава из автобиографии,1980,6,Ernest Thompson Seton,,,,,1980s,Brezhnev
IL,,,Слезар Генри,День экзамена,1981,7,Henry Slesar,Examination Day,,,,1980s,Brezhnev
IL,,,Смит Патрик Дэвис,В поисках  русского  медведя:  Фрагменты  книги,1984,11,Patrick D. Smith,In Search of a Russian Bear: An American Writer's Odyssey in the Former Soviet Union,,,,1980s,Chernenko
IL,,,Смит Патрик Дэвис,"Энджел-Сити, или Ангельский город: Роман",1981,2,Patrick D. Smith,Angel City,,,,1980s,Brezhnev
IL,,,Стайрон Уильям,Безмолвный прах: Фрагменты книги,1986,7,William Styron,This Quiet Dust,1982,,,1980s,Gorbachev
IL,,,Стайрон Уильям,Долгий марш,1967,7,William Styron,The Long March,1952,,,1960s,Brezhnev
IL,,,Стайрон Уильям,Софи делает выбор: Главы из романа,1981,1,William Styron,Sophie's Choice,1979,,,1980s,Brezhnev
IL,,,Стейнбек Джон,Жемчужина: Повесть,1956,12,John Steinbeck,The Pearl,1947,,,1950s,Khrushchev
IL,,,Стейнбек Джон,Зима тревоги нашей: Роман,1962,3-Jan,John Steinbeck,The Winter of Our Discontent,1961,,,1960s,Khrushchev
IL,,,Стейнбек Джон,Происшествие в доме № 5 по улице М,1958,8,John Steinbeck,The Affair at 7 Rue de M.,1955,,,1950s,Khrushchev
IL,,,Стейнбек Джон,Путешествие с Чарли в поисках Америки: Избранные главы,1963,3,John Steinbeck,Travels with Charley: In Search of America,1962,,,1960s,Khrushchev
IL,,,Стивенсон Джеймс,Проект Билли,1977,6,James Stevenson,Billy's Design,,,https://www.newyorker.com/magazine/1971/01/09/billys-design-illustrated,1970s,Brezhnev
IL,,,Стоун Роберт,В зеркалах: Роман,1973,6-Apr,Robert Stone,A Hall of Mirrors,1966,,,1970s,Brezhnev
IL,,,Стоун Роберт,Флаг на заре: Роман,1986,"1, 2",Robert Stone,A Flag for Sunrise,1981,,,1980s,Gorbachev
IL,,,Сэлинджер Дж. Д.,Над пропастью во ржи: Роман,1960,11,J. D. Salinger,The Catcher in the Rye,1951,,,1960s,Khrushchev
IL,,,Сэлинджер Дж. Д.,Тэттди: Рассказ,1982,10,J. D. Salinger,Teddy,1953,,,1980s,Andropov
IL,,,Тайлер Энн,Обед в ресторане «Тоска по дому»: Роман,1985,"9, 10",Anne Tyler,Dinner at the Homesick Restaurant,,,,1980s,Gorbachev
IL,,,Твен Марк,Вечно новый Марк Твен: Интервью «простака». Марк Твен - гость Сент-Луиса,1979,3,Mark Twain,,,,,1970s,Brezhnev
IL,,,Твен Марк,Говорит Марк Твен,1979,3,Mark Twain,,,,,1970s,Brezhnev
IL,,,Твен Марк,Марк Твен и Киплинг,1979,3,Mark Twain,,,,,1970s,Brezhnev
IL,,,Твен Марк,Марк Твен в Лондоне,1979,3,Mark Twain,,,,,1970s,Brezhnev
IL,,,Твен Марк,Умирение Сатаны,1979,3,Mark Twain,,,,,1970s,Brezhnev
IL,,,Твен Марк,Из эссеистики,1985,1,Mark Twain,,,,,1980s,Gorbachev
IL,,,Твен Марк,"Раосказы: История Мэйми Грант, девочки-миссионера",1983,4,Mark Twain,,,,,1980s,Andropov
IL,,,Твен Марк,Ферма пре­подобного Генри Уорда Бичера,1983,4,Mark Twain,,,,,1980s,Andropov
IL,,,Твен Марк,Творческие порывы двухлетних ост­ряков,1983,4,Mark Twain,,,,,1980s,Andropov
IL,,,Твен Марк,Эта невообразимая русская баня,1983,4,Mark Twain,,,,,1980s,Andropov
IL,,,Твен Марк,Рассказы: Политическая экономия,1984,3,Mark Twain,,,,,1980s,Chernenko
IL,,,Твен Марк,Восстановление аппетита,1984,3,Mark Twain,,,,,1980s,Chernenko
IL,,,Твен Марк,Три тысячи лет среди микробов: К 150-летию со дня рождения. Фрагменты повести,1985,11,Mark Twain,,,,,1980s,Gorbachev
IL,,,Тенн Уильям,Недуг,1967,1,William Tenn,The Sickness,,,,1960s,Brezhnev
IL,,,Теркел Стадс,«Хорошая война». Устная история второй мировой войны: Фрагменты книги,1985,"5, 10",Studs Terkel,The Good War: An Oral History of World War II,1984,,,1980s,Gorbachev
IL,,,"Тэрбер Джеймс, УАЙТ Э. Б.",Можно ли об этом говорить родителям?,1978,10,James Thurber,,,,,1970s,Brezhnev
IL,,,Тэрбер Джеймс,От чего страдает человечество?,1968,8,James Thurber,,,,,1960s,Brezhnev
IL,,,Тэрбер Джеймс,Рассказы: Вечер у драматурга,1976,10,James Thurber,,,,,1970s,Brezhnev
IL,,,Тэрбер Джеймс,Женщина в западне,1976,10,James Thurber,,,,,1970s,Brezhnev
IL,,,Тэрбер Джеймс,Единорог в са­ду,1976,10,James Thurber,The Unicorn in the Garden,,,,1970s,Brezhnev
IL,,,Тэрбер Джеймс,Исход Эммы Метр,1976,10,James Thurber,The Departure of Emma Inch,,,,1970s,Brezhnev
IL,,,Тэрбер Джеймс,Рассказы: Одним апрельским днем,1980,5,James Thurber,,,,,1980s,Brezhnev
IL,,,Тэрбер Джеймс,Спрятаться в ящике,1980,5,James Thurber,A Box to Hide In,,,,1980s,Brezhnev
IL,,,Тэрбер Джеймс,Есть что сказать,1980,5,James Thurber,,,,,1980s,Brezhnev
IL,,,Тэрбер Джеймс,"Собака, которая кусала людей",1979,2,James Thurber,The Dog That Bit People,,,,1970s,Brezhnev
IL,,,Уайлдер Торнтон,Теофил Норт: Роман,1976,8-Jun,Thornton Wilder,Theophilus North,1973,,,1970s,Brezhnev
IL,,,Уилсон Митчел,"Брат мой, враг мой: Роман",1956,4-Feb,Mitchell A. Wilson,"My Brother, My Enemy, part 1",1952,,,1950s,Khrushchev
IL,,,Уилсон Митчел,Встреча на далеком меридиане: Роман,1961,4-Jan,Mitchell A. Wilson,Meeting at a far meridian,1961,,,1960s,Khrushchev
IL,,,Уилсон Митчел,"Дэви Мэллори: Вторая книга романа «Брат мой, враг мой»",1959,"6, 7",Mitchell A. Wilson,"My Brother, My Enemy, part 2",1956,,,1950s,Khrushchev
IL,,,Уилсон Ричард,Подвижник Гарри - виновник «утечки умов»: Рассказ,1985,,Richard Wilson,"Harry Protagonist, Brain-Drainer",1965,,,1980s,Gorbachev
IL,,,Уильямс Теннесси,Орфей спускается в ад: Драма в 3-х д.,1960,7,Tennessee Williams,Orpheus Descending ,1957,,,1960s,Khrushchev
IL,,,Уильямс Теннесси,Рассказы: Поле голубых детей,1978,3,Tennessee Williams,The Field of Blue Children,1939,,,1970s,Brezhnev
IL,,,Уильямс Теннесси,Поздравляю с десятым августом!,1978,3,Tennessee Williams,Happy August the Tenth,1974,,,1970s,Brezhnev
IL,,,Уормсер Ричард,Пан Сатирус в космосе: Фантастическая повесть,1966,"1, 2",Richard Wormser,Pan Satyrus,,,,1960s,Brezhnev
IL,,,Уортон Эдит,Слишком ранний рассвет: Рассказ,1984,12,Edith Wharton,False Dawn,,,,1980s,Chernenko
