journal,,editor_in_chief,author,title,year,issue,english_author,original title,first published year,genre,additional comments,decade,general_secretary
IL,,,Хэнсберри Лорейн,Плакат в окне Сиднея Брустайна: Пьеса  в  3-х д.,1968,3,Lorraine Hansberry,The Sign in Sidney Brustein's Window,1964,,,1960s,Brezhnev
IL,,,Хэнсон Майк,Найди свое!: Повесть,1985,7,Mike Hanson,Ransack,1980,,,1980s,Gorbachev
IL,,,Чивер Джон,Буллет-Парк: Роман,1970,"7, 8",John Cheever,Bullet Park,1969,,,1970s,Brezhnev
IL,,,Чивер Джон,Геометрия любви,1968,5,John Cheever,The Geometry of Love,1966,,,1960s,Brezhnev
IL,,,Чивер Джон,Жители пригорода,1976,7,John Cheever,The Country Husband,1954,,,1970s,Brezhnev
IL,,,Шарп Том,Дальний умысел: Роман,1987,"9, 10",Tom Sharpe,The Great Pursuit ,1977,,,1980s,Gorbachev
IL,,,Шварц Хиллел,Предрешенные выводы: легенда о 1000-м годе: Из книги «Конец века».,1991,6,Hillel Schwartz,Century's End,,,,1990s,Gorbachev
IL,,,Шедд Маргарет,Вечный свидетель,1970,5,Margaret Shedd,The Everlasting Witness,,,,1970s,Brezhnev
IL,,,Шекли Роберт,Загвоздка: Рассказ,1985,3,Robert Sheckley,Holdout,1957,,,1980s,Gorbachev
IL,,,Шекли Роберт,Поединок разумов: Рассказ,1987,7,Robert Sheckley,Meeting of the Minds,1962,,,1980s,Gorbachev
IL,,,Шекли Роберт,Совершенная женщина: Рассказ,1986,10,Robert Sheckley,The Perfect Woman,1953,,,1980s,Gorbachev
IL,,,Шекли Роберт,Терапия,1967,1,Robert Sheckley,Bad Medicine,1956,,,1960s,Brezhnev
IL,,,Шекли Роберт,Фантастические рассказы: Ордер на убийство,1965,5,Robert Sheckley,Skulking Permit,1955,,,1960s,Brezhnev
IL,,,Шекли Роберт,Минимум необходимого,1965,5,Robert Sheckley,Subsistence Level,1954,,,1960s,Brezhnev
IL,,,Шекли Роберт,Лавка миров,1965,5,Robert Sheckley,The Store of the World,1959,,first published in Playboy under the title «The World of Heart's Desire»,1960s,Brezhnev
IL,,,Шоу Ирвин,"Богач, бедняк...: Роман",1980,11-Aug,Irwin Shaw,"Rich Man, Poor Man",1970,,,1980s,Brezhnev
IL,,,Шоу Ирвин,Вечер в Византии: Роман,1975,"9, 10",Irwin Shaw,Evening in Byzantium,1973,,,1970s,Brezhnev
IL,,,Шоу Ирвин,Жители Венеры,1967,2,Irwin Shaw,The Inhabitants of Venus,1965,,,1960s,Brezhnev
IL,,,Шоу Ирвин,Как это принято у французов,1969,5,Irwin Shaw,In the French Style,1953,,published in the New Yorker,1960s,Brezhnev
IL,,,Шоу Ирвин,"Нищий, вор: Роман",1983,7-May,Irwin Shaw,"Beggarman, Thief",1977,,,1980s,Andropov
IL,,,Якокка Ли,Якокка: автобиография: Фрагменты книги. (При участии Уильяма Новака),1988,12,Lee Iacocca,Iacocca: An Autobiography,1986,,,1980s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Азімов Айзек,Зелені цяточки: Оповідання,1989,11,Isaac Asimov,Green Patches,1950,,"first published under the title ""Misbegotten Missionary"" in 1950, reprinted in 1969 under the new title",1980s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Азімов Айзек,І що воно таке - кохання?: Оповідання,1987,7,Isaac Asimov,What Is This Thing Called Love,1961,," first published in 1961 as ""Playboy and the Slime God"", later renamed uner the new title in 1969",1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Азімов Айзек,Сховище: Оповідання,1970,5,Isaac Asimov,"Foster, you're dead!",1955,,"short story by Philip K. Dick published under the title 'Foster, you're dead!' in 1955, was published in Ogonek in 1950s",1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Аллен Вуді,Бог: П’єса,1981,4,Woody Allen,God,1975,,"part of Without Feathers book, publisher Random Pinguin House",1980s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Аллен Вуді,Про мафію і про літературу: Гуморески,1991,7,Woody Allen,A Look at the Organized Crime,1970,,"Published in the New Yorker Magazine under the tutle ""A look at the organized crime', in journal mentioned like Woody Allen. Getting Even - Warner books",1990s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Апдайк Джон,Кизилове дерево: Оповідання,1969,12,John Updike,The Dogwood Tree: a Boyhood,1962,,published in Martin Levin's Five Boyhoods,1960s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Артур Роберт,Жартівник: Оповідання,1986,9,Robert Arthur Jr.,The Jokester,1952,,,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Бартелм [Бартельм] Дональд,Геть корисні поради: Гумореска,1965,10,Donald Barthelme,Down the Line with the Annual,1964,,published in the New Yorker,1960s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Бах Річард,Ілюзії (Пригоди Месії мимоволі): Повість,1989,5,Richard Bach,Illusions: The Adventures of a Reluctant Messiah,1977,,,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Бейкер С. & Герні Е,Як співіснувати з неврастенічним собакою: Гумореска,1968,7,Stephen Baker,How to Live With Neurotic Dog,1960,,,1960s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Беллоу Сол,"Гендерсон, повелитель дощу: Роман",1991,"6, 7, 8",Saul Bellow,Henderson the Rain King,1959,,,1990s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Бессі Альва,Символ: Роман,1971,"6, 7",Alvah Bessie,The Symbol,1966,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Бестер Альфред,"Зачекайте хвилинку, будь ласка’: Оповідання",1971,5,Alfred Bester,Will you wait?,1959,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Блетті Вільям Пітер,Екзорсист: Повість,1987,9,William Peter Blatty,The Exorcist,1971,,,1980s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Болл Джон,Розправа з біржовиками: Роман,1983,"9, 10, 11, 12",John Ball,The Killing in The Market,1978,,,1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Браун Фредерік [Фредрік],У кожного своє хобі: Оповідання,1983,7,Fredric Brown,Hobbyist,1961,,,1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,Велика пожежа,1984,1,Ray Bradbury,The Great Fire,1949,,originally puplished in Seventeen,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,Круки,1984,1,Ray Bradbury, A Flight of Ravens,1952,,originally piblished in California Quarterly in 1951,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,Жебрак на мосту О’Коннела,1984,1,Ray Bradbury,The Beggar on the Dublin Bridge,1961,,,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,Коли переносять могили,1984,1,Ray Bradbury,The Tombling Day,1952,,,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,Історія одного кохання,1984,1,Ray Bradbury,These Things Happen/Story of Love,1951,,,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,Далеко за північ: Оповідання,1984,1,Ray Bradbury,Long After Midnight,1976,,,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,Джордж Бернард Шоу - модель 5: Оповідання,1979,9,Ray Bradbury,G.B.S. - Mark 5,1976,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Бредбері Рей,"Марсіанська хроніка: Фантаст, роман",1962,"5, 6",Ray Bradbury,The Martian Chronicles,1950,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Бредбері Рей,Ракета: Оповідання,1964,11,Ray Bradbury,The Rocket,1950,,also included in The Illustrated Man collection ,1960s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Бредбері Рей,Смерть - діло самотнє: Роман,1988,"9, 10, 11",Ray Bradbury,Death Is a Lonely Business,1985,,,1980s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,"Той, що чекає",1983,6,Ray Bradbury,The One who Waits,1949,,"first published in 1949, but Vsesvit mentiones a collection from 1964 where this text was inclided",1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,Убивця: Оповідання,1983,6,Ray Bradbury,The Murderer,1952,,,1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Бредбері Рей,Усмішка: Оповідання,1985,1,Ray Bradbury,The Smile,1952,,,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Бухвальд Ap,Педагог,1970,4,Art Buchwald,,,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Бухвальд Ap,Несправжній американець: Фейлетони,1970,4,Art Buchwald,,,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Бухвальд Ap,Сер Уїнстон [Черчілль] - американець: Фейлетон,1963,12,Art Buchwald,,,,,1960s,Khrushchev
Vsesvit,,Mykytenko O. (1986-2000),Вассермен Дейл,А за тим пропав і слід (Політ над гніздом зозулі): П’єса за романом Кена Кізі,1987,3,Dale Wasserman,One Flew Over the Cuckoo's Nest,1962,,,1980s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Відал Гор,Сотворіння світу: Роман,1989,"1, 2, 3, 4",Gore Vidal,Creation,1981,,,1980s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Вілсон Колін,Паразити свідомості: Роман,1988,"4, 5",Colin Wilson,The Mind Parasites,1967,,,1980s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Воннегут Курт,"Балаган, або Кінець самотності!: Роман",1984,12,Kurt Vonnegut,"Slapstick, or Lonesome No More!",1976,,,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Воннегут Курт,"Все завтра, та все завтра, та все завтра: Оповідання",1979,9,Kurt Vonnegut,Tomorrow and Tomorrow and Tomorrow/The Big Trip Up Yonder,1954,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Воннегут Курт,Галапагос: Роман,1990,"8, 9",Kurt Vonnegut,Galápagos,1985,,,1990s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Воннегут Курт,Сила духу: Новела-сценарій,1983,6,Kurt Vonnegut,Fortitude,1968,,,1980s,Andropov
Vsesvit,,Mykytenko O. (1986-2000),Вудгаус Пелем Гренвілл,Дивовижна пригода з натурником: Гумореска,1988,3,P. G. Wodehouse,Strange Experience of an Artist's Model,1921,Humor short story,"was born and raised in Great Britain, but his works were wrtitten in the US",1980s,Gorbachev
Vsesvit,,Pavlychko D. (1971-1978),Вулф Томас,"Додому нема вороття: Урив, з роману",1973,"5, 6, 7",Thomas Wolfe,You Can't Go Home Again,1940,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Галпер Альберт,Юніон-сквер: Роман,1970,"4, 5",Albert Halper,Union Square,1933,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Гаррісон Вільям,Ролербол: Оповідання,1980,6,William Harrison,Roller Ball Murder,1974,,,1980s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Гаррісон Гаррі,"Білл, герой Галактики: Роман",1991,5,Harry Harrison,"Bill, The Galactic Hero",1965,,,1990s,Gorbachev
Vsesvit,,Pavlychko D. (1971-1978),Гоч Едвард [Едвард Д.],Я тебе всюди впізнаю: Оповідання,1972,11,Edward D. Hoch,I'd Know You Anywhere,1963,Thriller,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Грехем Маргарет,"Щоб легше дихалось: [Урив, з роману]",1958,2,,,,,,1950s,Khrushchev
Vsesvit,,Mykytenko O. (1986-2000),Дідіон Джоан,Демократія: Роман,1988,1,Joan Didion,Democracy,1984,,,1980s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Доктороу Едгар Лоренс,Озеро Гагари: Роман,1982,,E. L. Doctorow,Loon Lake,1980,,,1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Доктороу Едгар Лоренс,Регтайм: Роман,1978,,E. L. Doctorow,Ragtime,1975,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Донліві Дж. П,Люба Сільвіє!.. Любий Хьюго!..: Гумореска,1989,,J. P. Donleavy,Dear Sylvia! Dear Hugo!,1964,,"part of Meet My Maker the Mad Molecule (stories/sketches) Atlantic-Little, Brown, Boston 1964",1980s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Каммінгс Едвард Естлін,Я: шість нелекцій: Есе,1991,,E. E. Cummings,I - six nonlectures,1953,,,1990s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Капоте Трумен,Музика для хамелеонів: Оповідання,1987,,Truman Capote,Music For Chamelions,1980,,,1980s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Капоте Трумен,Одного різдва: Оповідання,1987,,Truman Capote,One Christmas,1983,,,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Карр Е,Викрадено кішку: Оповідання,1966,,A. H. Z. Carr,A Case of Catnapping,1954,,,1960s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Каттнер Генрі,"Те, що вам треба: Оповідання",1988,,Henry Kuttner,What You Need,1945,,was published under the pseudonym Lewis Padgett,1980s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Квін Еллері,Божий світильник: Повість,1989,,Ellery Quinn,The Lamp of God,1935,,,1980s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Кейдін Мартін,Майже опівночі: Роман,1984,,Martin Caidin,Almost Midnight,1971,,,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Келлер Девід,Клапоть лінолеуму: Оповідання,1981,,David Henry Keller,A Piece of Linoleum,1933,,was published under the pseudonym Amy Worth,1980s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Кепп Ел,Лисий Горел: Комікс,1990,,Al Kapp,The Bald Iggle/From Li'l Abner series,1955,,,1990s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Керуак Джек,Малий Пік: Повість,1979,,Jack Kerouac,Pic,1971,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Кінг Стівен,Переслідуваний: Роман,1991,,Stephen King,The Running Man,1982,,"first published underthe  pseudonym Richard Bachman, in 1985 it was collected in The Bachman Books",1990s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Клейтон Джон Белл,Біле коло,1959,,John Bell Clayton,The White Circle,1947,,,1950s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Клейтон Джон Белл,Випадок на Чепмен Свич,1959,,John Bell Clayton,Incident at Chapman's Switch,1957,,"can't find the original date, but it  was included in The Strangers Were There collection",1950s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Клейтон Джон Белл,"Щаслива історія, коли розповісти її з кінця: Оповідання",1959,,John Bell Clayton,A Happy Story When Seen Backwards,1957,,,1950s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Колдуелл Ерскін,Лампа горить цілу ніч: Роман,1962,,Erskine Caldwell,A Lamp for Nightfall,1952,,,1960s,Khrushchev
Vsesvit,,Pavlychko D. (1971-1978),Колдуелл Ерскін,Смоленська дорога: Нариси,1975,,Erskine Caldwell,All-Out on the Road to Smolensk,1942,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Коннел Івен С. ,Мелвін стає абстракціоністом: Розд. з роману «Патріот»,1963,,Evan S. Connell,The  Patriot,1960,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Коул Берт,Вулкан Субі: Роман,1959,,Burt Cole,Subi: The Volcano,1957,,,1950s,Khrushchev
Vsesvit,,Mykytenko O. (1986-2000),Кук Робін,Мозок: Роман,1989,,Robin Cook,Brain,1980,Medical thriller,,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Ларднер Рінг,День Конрада Гріна: Оповідання,1971,,Ring Lardner,A Day with Conrad Green,1929,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Ларднер Рінг,Моє виправдання: Оповідання,1970,,Ring Lardner,Ex Parte,1929,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Ле Гуїн Урсула,"Слово, що звільняє: Оповідання",1991,,Ursula K. Le Guin,The Word of Unbinding,1964,speculative fiction,first published In Fantastic magazine - digest size fantasy and science fiction magazine,1990s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Ліві Ньюмен,Седрік та його хрещений батько: Гумореска,1988,,Newman Levy,Cedric's Fairy Godfather,1958,Humor short story,,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Ліггет Б,Любитель кішок: Оповідання,1969,,Byron Liggett,The Cat Man,1960,,,1960s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Макграт Томас,Ворота облуди і ворота правди: Повість,1984,,Thomas McGrath,"The Gates of Ivory, the Gates of Horn",1957,,,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Маккаллерс Карсон,Балада про сумне кафе: Повість,1983,,Carson McCullens,The Ballad of the Sad Café,1951,,,1980s,Andropov
Vsesvit,,Mykytenko O. (1986-2000),Маккаллерс Карсон,Мадам Зіленська і король Фінляндії: Оповідання,1991,,Carson McCullens,Madame Zilensky and the King of Finland,1951,,,1990s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Маккол Ден,Незграба Джек: Роман,1980,,Dan McCall,Jack the Bear,1974,,,1980s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Марч Вільям,Біллові очі: Оповідання,1984,,William March,Bill's Eyes,1939,,,1980s,Chernenko
Vsesvit,,Pavlychko D. (1971-1978),Марч Вільям,Дружинонька: Новела,1977,,William March,The Little Wife,1935,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Мейфілд Джуліан,Довга ніч: Повість,1970,,Julian Mayfield,The Long Night,1958,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Мелвілл Герман,"Біллі Бад, формарсовий матрос: Повість",1977,,Herman Melville,"Billy Budd, Sailor",1924,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Метесон Річард,Двобій: Оповідання,1982,,Richard Matheson,Duel,1971,,,1980s,Andropov
Vsesvit,,Poltoratskyy O. (1958-1971),Міддоу Дж,Смерть Томмі Граймса: Оповідання,1963,,R. J. Meaddough,The Death of Tommy Grimes,1962,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Міен Томас,Кіноконцентрат: Оповідання,1964,,,,,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Міен Томас,Розчинити за смаком: Оповідання,1964,,,,,,,1960s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),О’Коннор Фланнері,Урожай: Новела,1977,,Flannery O'Connor,The Crop,1971,,,,
Vsesvit,,Poltoratskyy O. (1958-1971),Олбі Едвард,Смерть Бессі Сміт: П’єса,1964,,Edward Albee,The Death of Bessie Smith,1960,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Олбрайт Джон,Заборона: Оповідання,1963,,,,,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Олгрен Нельсон,Пляшка молока для матері: Оповідання,1961,,Nelson Algren,A Bottle of Milk for Mother,1941,,,1960s,Khrushchev
Vsesvit,,Pavlychko D. (1971-1978),Оутс Джойс Керол,Перша сутичка,1977,,Joyce Carol Oates,First Views of the Enemy,,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Оутс Джойс Керол,Норман і вбивця,1977,,Joyce Carol Oates,Norman And the Killer,1966,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Оутс Джойс Керол,Після аварії,1977,,Joyce Carol Oates,Convalescing,1970,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Оутс Джойс Керол,Безпритульні діти: Оповідання,1977,,Joyce Carol Oates,Stray Children,1972,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),О’Хара Джон,Гроші: Новела,1977,,John O'Hara,Money,1962,published in the New Yorker,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Портер Кетрін Енн,Корабель блазнів: Роман,1978,,Katherine Anne Porter,Ship of Fools,1962,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),П’юзо Маріо,Хрещений батько: Роман,1973,,Mario Puzo,Godfather,1969,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Рейнолдс Мак,Концентратор нещасть: Оповідання,1987,,Mack Reynolds,Prone,1954,Science fiction,first published in the Magazine of Fantasy and Science Fiction,1980s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Руні Френк,Мотоциклісти: Оповідання,1982,,Frank Rooney,Ciclists' Raid,1951,,,1980s,Andropov
Vsesvit,,Poltoratskyy O. (1958-1971),Сакстон Александр,Ясна павутинка в темряві: Роман,1965,,Alexander Saxton,The Bright Web in the Darkness,1958,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Саллівен Френк,"Містер Арбатнот визначає, що таке кохання: Гумореска",1964,,Frank Sullivan,The Cliché Expert Testifies on Love,1935,Humor short story,Published in the New Yorker Magazine,1960s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Сароян Вільям,Літо прегарного білого коня: Новела,1977,,William Saroyan,The Summer of the Beautiful White Horse,1940,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Сароян Вільям,"Любов, смерть, самопожертва і так далі: Оповідання",1963,,William Saroyan,"Love, Death, Sacrifice and So Forth",1934,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Сароян Вільям,Люди в печері: П’єса,1961,,William Saroyan,The Cave Dwellers,1958,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Сароян Вільям,Сумна історія: Роман,1968,,William Saroyan,The Laughing Matter/A Secret Story,1953,,,1960s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Семсон Джоан,Аукціоніст: Роман,1982,,Joan Samson,The Auctioneer,1976,,,1980s,Andropov
Vsesvit,,Pavlychko D. (1971-1978),Сігел Ерік,Історія одного кохання: Роман,1976,,Erich Segal,Love Story,1970,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стевіс Беррі,"Людина, що ніколи не вмирала: П’єса",1963,,Barrie Stavis,The Man Who Never Died,1954,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Біла куріпка,1964,,John Steinbeck,The White Quail,1938,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Втеча,1964,,John Steinbeck,Flight,1938,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Династія Уайтсайдів,1964,,John Steinbeck,The Pastures of Heaven. Chapter XI,1932,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Дім Пета Гамберта,1964,,John Steinbeck,The Pastures of Heaven. Chapter X,1932,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Свята діва Кеті,1964,,John Steinbeck,Saint Katy the Virgin,1938,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Хризантеми,1964,,John Steinbeck,The Chrysanthemums,1938,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Сестри Лопес: Оповідання,1964,,John Steinbeck,The Pastures of Heaven. Chapter VII,1932,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Консервний Рад: Повість,1965,,John Steinbeck,Cannery Row,1945,,,1960s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Стоун Ірвінг,Бунт розуму: Роман,1991,,Irving Stone,The Passions of the Mind,1971,,,1990s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Стоун Ірвінг,Як створювалась «Пієта»: Повість,1966,,Irving Stone,The Story of Michelangelo's Pieta,1961,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стоун Філіп Олстон,Тікати нікуди: Роман,1963,,Philip Alston Stone,No Place to Run,1959,,,1960s,Khrushchev
Vsesvit,,Korotych V. (1978-1986),Суонн Томас Бернетт,Ніч єдинорога: Оповідання,1982,,Thomas Burnett Swann,The Night of the Unicorn,1975,fantasy,,1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Ташнет Леонард,Практична людина: Оповідання,1981,,Leonard Tushnet,A Practical invention,1972,Science fiction,published in Fantasy and Science Fiction,1980s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,Дві баєчки: Миролюбний Мангуст,1966,,James Thurber,Peacelike mongoose,1956,fable,Further Fables for Our Time by New Yorker,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,"Про тигра, який хотів бути царем",1966,,James Thurber,The Tiger Who Would Be King,1956,fable,Further Fables for Our Time by New Yorker,1960s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Торбер [Тербер; Тарбер] Джеймс,Док Марло: Оповідання,1984,,James Thurber,Doc Marlowe,1935,,first published in the New Yorker,1980s,Chernenko
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,Обранець народу: Оповідання,1970,,James Thurber,But Few are Chosen,1930,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Торбер [Тербер; Тарбер] Джеймс,Таємне життя Уолтера Миті: Оповідання,1982,,James Thurber,The Secret Life of Walter Mitty,1939,,,1980s,Andropov
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,Тринадцять дзигарів,1967,,James Thurber,The 13 Clocks,1950,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,Дивовижне «О»: Оповідання,1967,,James Thurber,The wonderful O,1957,,,1960s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Трейсі Вірджінія,Громовержець: Оповідання,1972,,,,,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Уелті Юдора,Дочка оптиміста: Повість,1974,,Eudora Welty,The Optimist's Daughter ,1969,,first published in the New Yorker,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),"Уест, Морріс",Репортаж,1981,,,,,,,,
Vsesvit,,Pavlychko D. (1971-1978),Уїльямс Теннесі,З десятим серпня!: Новела,1977,,Tennessee Williams,Happy August the Tenth,1974,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),"Уокер, Івен",Випадок у Гарлемі,1982,,,,,,,,
Vsesvit,,Korotych V. (1978-1986),Фармер Філіп Хосе,Наперекір тількивівторковому світу: Оповідання,1983,,Philip José Farmer,The Sliced-Crosswise Only-On-Tuesday World,1971,Science fiction,,1980s,Andropov
Vsesvit,,Mykytenko O. (1986-2000),Фелсен Генрі Грегор,Самогубство з сотнею доларів: Оповідання,1991,,Henry Gregor Felsen,The Hundred Dollar Suicide ,1956,,published in Playboy,1990s,Gorbachev
Vsesvit,,Pavlychko D. (1971-1978),Фіцджеральд Френсіс Скотт,Повернення до Вавілона: Оповідання,1976,,F. Scott Fitzgerald,Babylon Revisited,1931,,,1970s,Brezhnev
